timestamp,data
2023-05-03T20:03:33.000Z,500.0316170904111 500.30598912923284
2023-05-03T20:03:34.000Z,499.5428789954413 501.63544168549834
2023-05-03T20:03:34.000Z,504.695371839446 502.13172694173545
2023-05-03T20:03:34.000Z,521.1520783434808 497.8094771865293
2023-05-03T20:03:35.000Z,543.000975305502 497.8413768023173
2023-05-03T20:03:35.000Z,591.136177214951 478.26455480287314
2023-05-03T20:03:36.000Z,622.3813814471569 474.63470431373156
2023-05-03T20:03:36.000Z,691.7829507408062 437.32004605928796
2023-05-03T20:03:37.000Z,730.9189403331791 409.060141947322
2023-05-03T20:03:37.000Z,720.4187014119652 381.2809203677445
2023-05-03T20:03:37.000Z,780.63124528166 349.7015453704958
2023-05-03T20:03:38.000Z,727.6167981481105 362.1933093496971
2023-05-03T20:03:39.000Z,726.1556367119366 332.55563425502163
2023-05-03T20:03:39.000Z,644.9549596912713 376.51331474605774
2023-05-03T20:03:39.000Z,517.6753344224633 399.1513060719055
2023-05-03T20:03:40.000Z,543.0570980633387 368.2488151066643
2023-05-03T20:03:40.000Z,526.7337308390057 399.72561808559885
2023-05-03T20:03:41.000Z,539.3791391171721 389.7147949383122
2023-05-03T20:03:41.000Z,596.259259094751 375.8986155861481
2023-05-03T20:03:42.000Z,571.000017482176 376.05109598425304
2023-05-03T20:03:42.000Z,601.9295348136487 403.9097489380394
2023-05-03T20:03:42.000Z,634.8812055382231 394.5938003363841
2023-05-03T20:03:43.000Z,708.2813977257052 416.97713627926214
2023-05-03T20:03:43.000Z,747.139160535564 419.9584343708177
2023-05-03T20:03:44.000Z,828.6939274028867 391.6278545568322
2023-05-03T20:03:44.000Z,845.9585685886925 378.3978575816497
